first_name,last_name,department,job_title,phone_number,email
Michael,Scott,Education,Regional Manager,555-1234,michael.scott@company.com
Dwight,Schrute,Sales,Assistant to the Regional Manager,555-5678,dwight.schrute@company.com
Jim,Halpert,Sales,Sales Representative,555-9012,jim.halpert@company.com
Pam,Beesly,Reception,Receptionist,555-3456,pam.beesly@company.com
Ryan,Howard,Temps,Temp,555-7890,ryan.howard@company.com
Andy,Bernard,Sales,Sales Representative,555-2345,andy.bernard@company.com
Robert,California,Corporate,CEO,555-0000,robert.california@company.com
Stanley,Hudson,Sales,Sales Representative,555-4567,stanley.hudson@company.com
Kevin,Malone,Accounting,Accountant,555-8901,kevin.malone@company.com
Angela,Martin,Accounting,Accountant,555-2345,angela.martin@company.com
Oscar,Martinez,Accounting,Accountant,555-6789,oscar.martinez@company.com
Phyllis,Vance,Sales,Sales Representative,555-3456,phyllis.vance@company.com
Toby,Flenderson,HR,HR Representative,555-7890,toby.flenderson@company.com
Kelly,Kapoor,Customer Service,Customer Service Representative,555-1234,kelly.kapoor@company.com
Darryl,Philbin,Warehouse,Warehouse Foreman,555-5678,darryl.philbin@company.com
Creed,Bratton,Quality Assurance,Quality Assurance,555-9012,creed.bratton@company.com
Meredith,Palmer,Supplier Relations,Supplier Relations,555-3456,meredith.palmer@company.com
Erin,Hannon,Reception,Receptionist,555-7890,erin.hannon@company.com
Gabe,Lewis,Corporate,Coordinating Director of Emerging Regions,555-2345,gabe.lewis@company.com
Jan,Levinson,Corporate,Vice President of Northeast Sales,555-6789,jan.levinson@company.com
David,Wallace,Corporate,CFO,555-3456,david.wallace@company.com
Holly,Flax,HR,HR Representative,555-7890,holly.flax@company.com
Charles,Miner,Corporate,Vice President of the Northeast Region,555-1234,charles.miner@company.com
Jo,Bennett,Corporate,CEO of Sabre,555-5678,jo.bennett@company.com
Clark,Green,Sales,Sales Representative,555-9012,clark.green@company.com
Pete,Miller,Customer Service,Customer Service Representative,555-3456,pete.miller@company.com
